#timestamp [ns],wx [rad s^-1],wy [rad s^-1],wz [rad s^-1],ax [m s^-2],ay [m s^-2],az [m s^-2]
0,-0.005433113,0.158660558,0.053260343,0.050051556,0.049131211,9.774311616
5000000,-0.009471012,0.159994771,0.054799999,0.043185307,0.021276894,9.805884650
10000000,-0.006224134,0.158899112,0.053392183,0.024647126,0.090093740,9.773598205
15000000,-0.010438919,0.161218922,0.053874570,0.061759825,0.108992267,9.787239375
20000000,-0.009645655,0.156702817,0.053677249,0.074774134,0.059950825,9.765474506
25000000,-0.004166005,0.163607213,0.050234500,0.110552688,0.083329766,9.720830252
30000000,-0.004588057,0.161812093,0.056728646,0.118049782,0.073713971,9.787102494
35000000,-0.005221105,0.159193406,0.055343504,0.078470034,0.101141945,9.754747285
40000000,-0.012088907,0.157713681,0.051419290,0.084736279,0.100748839,9.739786360
45000000,-0.007039330,0.156544143,0.052208498,0.061432909,0.106963979,9.745805526
50000000,-0.006279043,0.159665006,0.054301952,0.126790589,0.093560335,9.781077352
55000000,-0.007486115,0.159311085,0.053456034,0.152332475,0.099846309,9.779386958
60000000,-0.008464040,0.160321514,0.054303780,0.160859380,0.070708575,9.744073392
65000000,-0.001712436,0.157426376,0.053421029,0.160407326,0.037660206,9.725655911
70000000,-0.000084049,0.156526330,0.053824255,0.104619134,0.116950165,9.791932182
75000000,-0.006253625,0.159767905,0.051960333,0.183278983,0.086733959,9.748271678
80000000,-0.001221432,0.160190368,0.050881728,0.161928684,0.096241263,9.780515990
85000000,0.002012762,0.161425638,0.056377839,0.145102213,0.105271078,9.791285726
90000000,-0.003812002,0.160150713,0.056461758,0.208132212,0.042616097,9.782037102
95000000,-0.002508889,0.161181636,0.053958452,0.191290915,0.128638363,9.757326295
100000000,-0.005917997,0.161126988,0.053163805,0.233254541,0.125467018,9.783636833
105000000,-0.000164121,0.159662265,0.051127889,0.195108362,0.097275435,9.737800422
110000000,-0.001250667,0.160223537,0.055741675,0.203345819,0.116105362,9.761746171
115000000,-0.000170018,0.161851021,0.054819246,0.223514137,0.129708504,9.799849908
120000000,0.000345171,0.164021142,0.053488888,0.205360221,0.085676482,9.748992025
125000000,0.000768442,0.164439591,0.054774782,0.237611319,0.111747597,9.779465904
130000000,-0.003161074,0.155488713,0.058331613,0.207941712,0.113494069,9.747077678
135000000,0.003258341,0.161560230,0.049221128,0.273992648,0.100506134,9.781092388
140000000,0.003176590,0.159540992,0.053850101,0.254051964,0.092920870,9.783937389
145000000,0.002247856,0.161478638,0.055129375,0.275003336,0.066991960,9.731111951
150000000,0.005366871,0.162115017,0.054974317,0.338099210,0.045302070,9.733131044
155000000,0.000651152,0.162165281,0.055268096,0.302106644,0.050734953,9.809857696
160000000,0.005219475,0.166035051,0.054190391,0.269868603,0.083431486,9.784877937
165000000,0.002695598,0.162558082,0.053501329,0.278428731,0.054912761,9.761686593
170000000,0.002202712,0.161924781,0.058483329,0.302360724,0.088842675,9.751744255
175000000,0.005932986,0.165356744,0.056714356,0.331927071,0.095944676,9.732782121
180000000,0.012981905,0.163937773,0.055228033,0.337478360,0.069284389,9.731780019
185000000,0.007977233,0.163611567,0.054471891,0.368610104,0.027958839,9.718892669
190000000,0.007010473,0.164145935,0.053630514,0.373103122,0.034084768,9.805588571
195000000,0.004214891,0.159985534,0.059164917,0.321059461,0.115861858,9.782488272
200000000,0.008405221,0.165078985,0.053582579,0.325910039,0.072645315,9.716631608
205000000,0.011782225,0.164295914,0.060101837,0.355955302,0.057422082,9.698005576
210000000,0.013281843,0.165191327,0.053953097,0.367453861,0.062728717,9.749780006
215000000,0.007758749,0.163180279,0.055466765,0.355502055,0.054602874,9.761084157
220000000,0.010073316,0.165307730,0.055659674,0.424322857,0.138673414,9.786792243
225000000,0.011519364,0.167372191,0.055780312,0.386469200,0.051613153,9.765188497
230000000,0.008739638,0.166268529,0.056087228,0.456615640,0.115159586,9.705354293
235000000,0.011811399,0.161600500,0.058670259,0.457267337,0.028357566,9.746168085
240000000,0.016999117,0.162376308,0.056406967,0.465322463,0.040175020,9.740461282
245000000,0.014460498,0.159897040,0.055640875,0.500606742,0.108556040,9.766907194
250000000,0.009688524,0.164137832,0.061238511,0.402336135,0.015381724,9.757375793
255000000,0.010859786,0.168786672,0.060125100,0.475891565,0.068179474,9.724056045
260000000,0.014800243,0.165609718,0.055226483,0.469613200,0.088769596,9.748565823
265000000,0.014206601,0.164952614,0.054098387,0.453807739,0.060772257,9.766113382
270000000,0.016891553,0.164656175,0.053450156,0.478205802,0.065500018,9.747500077
275000000,0.017928263,0.166419969,0.058770706,0.456367159,0.046284882,9.780906333
280000000,0.015538399,0.167218316,0.061333070,0.494722925,0.111991017,9.699333662
285000000,0.017233007,0.165122549,0.057808006,0.526776344,0.070100256,9.720541517
290000000,0.012422602,0.161646201,0.054908470,0.521529682,-0.010657661,9.753427755
295000000,0.017278789,0.165293066,0.056929435,0.519043160,0.061016324,9.767922487
300000000,0.015268739,0.167886638,0.057141210,0.534502063,0.016864260,9.712533512
305000000,0.019184041,0.166388998,0.054916976,0.516543337,0.056378933,9.758472243
310000000,0.018936095,0.162697533,0.051149634,0.493594525,0.097816911,9.758443008
315000000,0.019412422,0.169541375,0.055134918,0.551894705,0.023953752,9.736829736
320000000,0.016706578,0.166846968,0.055403628,0.607957512,0.066765585,9.745997835
325000000,0.021968243,0.167170874,0.055390072,0.611684007,0.065040651,9.743410500
330000000,0.022382690,0.165588565,0.051931094,0.622675941,0.078224290,9.781451638
335000000,0.020594850,0.163770768,0.053091019,0.616510940,0.055440042,9.723349696
340000000,0.020284832,0.167470814,0.056803265,0.554679317,0.046577727,9.740597028
345000000,0.018327244,0.163276575,0.056859391,0.607179087,-0.001692347,9.768143355
350000000,0.023251268,0.165266434,0.058687971,0.621383383,0.007351470,9.727259242
355000000,0.024613248,0.164753788,0.055308289,0.604415564,0.026061854,9.745559947
360000000,0.023710545,0.161211103,0.057687617,0.657353071,-0.018217971,9.748975422
365000000,0.021641575,0.169218565,0.052923501,0.608494503,0.020014096,9.756017855
370000000,0.026019281,0.161612591,0.055540962,0.654526164,-0.027498010,9.730580012
375000000,0.026549905,0.168699196,0.059233811,0.713944678,0.057977446,9.812663370
380000000,0.027718138,0.168502675,0.059323349,0.680472743,0.006641837,9.731569057
385000000,0.025172041,0.165740709,0.058866164,0.691851858,0.017400629,9.762253270
390000000,0.029613104,0.166356685,0.055968225,0.711438662,-0.016293284,9.766406906
395000000,0.026047756,0.164801415,0.058427802,0.709736700,0.067374500,9.769937330
400000000,0.030596150,0.168045273,0.057305289,0.745208552,0.018490101,9.703886489
405000000,0.032947580,0.166988713,0.060755261,0.759798006,0.040322922,9.788335703
410000000,0.026224817,0.167627292,0.055141900,0.717836109,0.027493631,9.741415821
415000000,0.027101341,0.165257217,0.057721149,0.721770410,-0.030698239,9.729920877
420000000,0.028684375,0.162323057,0.056579252,0.725998813,0.049786959,9.748595309
425000000,0.028763415,0.163186568,0.058768830,0.742955533,0.046978551,9.763739342
430000000,0.032334204,0.168960993,0.061828364,0.770348326,0.011733153,9.711225702
435000000,0.028503988,0.164928872,0.057703499,0.780659949,0.005967899,9.771224997
440000000,0.031382767,0.167978181,0.059849626,0.796597952,-0.000030225,9.774204135
445000000,0.031521116,0.170228533,0.056038850,0.776473175,-0.004443839,9.740004806
450000000,0.031382916,0.165162667,0.049744697,0.819935666,0.017834416,9.787801957
