#timestamp [ns],p_RS_R_x [m],p_RS_R_y [m],p_RS_R_z [m],q_RS_w [],q_RS_x [],q_RS_y [],q_RS_z [],v_RS_R_x [m s^-1],v_RS_R_y [m s^-1],v_RS_R_z [m s^-1],b_w_RS_S_x [rad s^-1],b_w_RS_S_y [rad s^-1],b_w_RS_S_z [rad s^-1],b_a_RS_S_x [m s^-2],b_a_RS_S_y [m s^-2],b_a_RS_S_z [m s^-2]
0,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
5000000,0.000000000,0.000000000,0.000000000,0.999999904,0.000000000,0.000420735,0.000119856,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
10000000,0.000000000,0.000000000,0.000000000,0.999999617,0.000001178,0.000841725,0.000239850,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
15000000,0.000000000,0.000000000,0.000000000,0.999999138,0.000003534,0.001262969,0.000359980,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
20000000,0.000000000,0.000000000,0.000000000,0.999998466,0.000007069,0.001684467,0.000480247,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
25000000,0.000000000,0.000000000,0.000000000,0.999997601,0.000011781,0.002106219,0.000600649,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
30000000,0.000000000,0.000000000,0.000000000,0.999996544,0.000017672,0.002528224,0.000721187,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
35000000,0.000000000,0.000000000,0.000000000,0.999995293,0.000024741,0.002950481,0.000841858,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
40000000,0.000000000,0.000000000,0.000000000,0.999993848,0.000032989,0.003372992,0.000962664,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
45000000,0.000000000,0.000000000,0.000000000,0.999992208,0.000042414,0.003795754,0.001083603,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
50000000,0.000000000,0.000000000,0.000000000,0.999990374,0.000053018,0.004218769,0.001204675,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
55000000,0.000000000,0.000000000,0.000000000,0.999988345,0.000064800,0.004642035,0.001325879,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
60000000,0.000000000,0.000000000,0.000000000,0.999986120,0.000077760,0.005065552,0.001447214,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
65000000,0.000000000,0.000000000,0.000000000,0.999983699,0.000091898,0.005489321,0.001568681,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
70000000,0.000000000,0.000000000,0.000000000,0.999981082,0.000107215,0.005913340,0.001690278,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
75000000,0.000000000,0.000000000,0.000000000,0.999978268,0.000123709,0.006337609,0.001812005,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
80000000,0.000000000,0.000000000,0.000000000,0.999975257,0.000141382,0.006762129,0.001933862,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
85000000,0.000000000,0.000000000,0.000000000,0.999972048,0.000160233,0.007186898,0.002055847,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
90000000,0.000000000,0.000000000,0.000000000,0.999968641,0.000180262,0.007611917,0.002177960,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
95000000,0.000000000,0.000000000,0.000000000,0.999965035,0.000201470,0.008037184,0.002300202,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
100000000,0.000000000,0.000000000,0.000000000,0.999961231,0.000223855,0.008462701,0.002422570,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
105000000,0.000000000,0.000000000,0.000000000,0.999957227,0.000247418,0.008888466,0.002545065,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
110000000,0.000000000,0.000000000,0.000000000,0.999953024,0.000272159,0.009314479,0.002667685,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
115000000,0.000000000,0.000000000,0.000000000,0.999948620,0.000298079,0.009740740,0.002790432,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
120000000,0.000000000,0.000000000,0.000000000,0.999944015,0.000325176,0.010167248,0.002913302,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
125000000,0.000000000,0.000000000,0.000000000,0.999939210,0.000353451,0.010594003,0.003036298,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
130000000,0.000000000,0.000000000,0.000000000,0.999934202,0.000382903,0.011021006,0.003159417,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
